Treatment	Rep	Time	Cr	Cr sd	Cr(III)	Cr(III) sd	?53Cr	?53Cr 2SEM	NOx	NOx sd	PO4	PO4 sd	Si(OH)4	Si(OH)4 sd	NH4	NH4 sd	NO2	NO2 sd
		(hr)	nmol kg-1	nmol kg-1	nmol kg-1	nmol kg-1	‰	‰	µM	µM	µM	µM	µM	µM	uM	uM	uM	uM
T0	NA	0	3.36	0.03	0.24	0.02	0.99	0.02	14	NA 	1.05	 NA	1	 NA	0.15	 NA	0.22	 NA
Ambient	A	16	3.39	0.1	0.27	0.03	NA	NA	12.8	0	0.97	0	1	0	0.19	0.01	0.19	0
Ambient	B	16	3.52	0.11	0.36	0.04	NA	NA	14.2	0	1.06	0	1.1	0	0.18	0	0.19	0
Ambient	C	16	3.34	0.1	0.29	0.03	NA	NA	13.8	0	1.03	0	1	0	0.17	0.01	0.19	0
Cold	A	16	3.31	0.1	0.28	0.03	NA	NA	14	0	1.05	0	1.1	0.1	0.17	0.01	0.19	0
Cold	B	16	3.41	0.1	0.3	0.03	NA	NA	14	0	1.05	0	1	0	0.2	0.01	0.19	0
Cold	C	16	3.34	0.1	0.24	0.02	NA	NA	13.6	0	1.03	0	1	0	0.2	0.01	0.19	0
Ambient	A	65	3.31	0.1	0.23	0.02	NA	NA	12.7	0	0.97	0.01	0.9	0	0.15	0.01	0.18	0
Ambient	B	65	3.33	0.1	0.25	0.03	NA	NA	14.1	0	1.05	0	1	0	0.16	0	0.18	0
Ambient	C	65	3.33	0.1	0.16	0.02	NA	NA	13.8	0.2	1.03	0.01	1	0	0.16	0.02	0.18	0
Cold	A	65	3.33	0.1	0.22	0.02	NA	NA	13.8	0.3	1.04	0.02	1	0	0.15	0.03	0.18	0
Cold	B	65	3.36	0.1	0.26	0.03	NA	NA	13.9	0	1.04	0	0.9	0	0.18	0.01	0.19	0
Cold	C	65	3.33	0.1	0.24	0.02	NA	NA	13.6	0	1.02	0	0.9	0	0.18	0.01	0.19	0
Ambient	A	118	3.67	0.03	0.29	0.03	0.93	0.03	12.7	0	0.96	0	1	0	0.15	0.01	0.18	0
Ambient	B	118	3.96	0.03	0.26	0.03	0.88	0.02	14.1	0	1.05	0.01	1.1	0	0.16	0	0.18	0
Ambient	C	118	3.83	0.03	0.33	0.03	0.9	0.02	13.7	0	1.02	0	1	0	0.16	0.02	0.18	0
Cold	A	118	4.13	0.03	0.3	0.03	0.85	0.03	14	0.1	1.04	0	1	0	0.15	0.03	0.19	0
Cold	B	118	3.85	0.03	0.3	0.03	0.92	0.02	14	0.1	1.05	0	1	0	0.18	0.01	0.19	0
Cold	C	118	3.79	0.03	0.31	0.03	0.94	0.02	13.6	0	1.02	0	0.9	0	0.18	0.01	0.19	0
