Treatment	Rep	Time	Cr	Cr sd	Cr(III)	Cr(III) sd	?53Cr	?53Cr 2SEM	NOx	NOx sd	PO4	PO4 sd	Si(OH)4	Si(OH)4 sd	NH4	NH4 sd	NO2	NO2 sd
		(hr)	nmol kg-1	nmol kg-1	nmol kg-1	nmol kg-1	‰	‰	µM	µM	µM	µM	µM	µM	uM	uM	uM	uM
T0	NA	0	3.31	0.03	0.17	0.03	1.01	0.02	10.4	0	0.84	0	0.7	0	0.42	0.2	0.18	0
Ambient	A	18	3.69	0.18	0.76	0.08	NA	NA	10.7	0	0.85	0	0.7	0.1	0.17	0.04	0.19	0
	B		3.2	0.16	0.19	0.02	NA	NA	7.9	0	0.71	0	0.5	0	0.22	0.05	0.17	0
	C		3.31	0.17	0.29	0.03	NA	NA	9.9	0	0.8	0	0.6	0	0.19	0.05	0.18	0
Cold	A	18	3.33	0.17	0.18	0.02	NA	NA	10.8	0	0.86	0	0.7	0	0.15	0	0.18	0
	B		3.44	0.17	0.12	0.01	NA	NA	7.7	0	0.75	0	0.5	0	0.24	0.05	0.17	0
	C		3.25	0.16	0.14	0.01	NA	NA	7.5	0	0.81	0	0.5	0	0.25	0.08	0.17	0
Ambient	A	65	3.36	0.17	0.21	0.02	NA	NA	10.7	0	0.85	0	0.7	0	0.14	0.01	0.19	0
	B		3.29	0.16	0.22	0.02	NA	NA	7.9	0	0.71	0	0.6	0.1	0.1	0.01	0.17	0
	C		3.31	0.17	0.17	0.02	NA	NA	9.9	0	0.8	0	0.7	0.1	0.09	0.01	0.18	0
Cold	A	65	3.31	0.17	0.2	0.02	NA	NA	10.8	0	0.87	0	0.7	0	0.11	0	0.19	0
	B		3.28	0.16	0.2	0.02	NA	NA	7.7	0	0.75	0	0.5	0	0.16	0.01	0.17	0
	C		3.25	0.16	0.13	0.01	NA	NA	7.5	0	0.81	0.01	0.5	0	0.17	0.01	0.17	0
Ambient	A	113	NA	NA	NA	NA	NA	NA	10.7	NA	0.85	NA	0.8	NA	0.12	NA	0.19	NA
	B		NA	NA	NA	NA	NA	NA	7.8	NA	0.71	NA	0.6	NA	0.05	NA	0.18	NA
	C		NA	NA	NA	NA	NA	NA	9.9	NA	0.8	NA	0.7	NA	0.03	NA	0.18	NA
Cold	A	113	NA	NA	NA	NA	NA	NA	10.8	NA	0.86	NA	0.8	NA	0.11	NA	0.19	NA
	B		NA	NA	NA	NA	NA	NA	7.7	NA	0.75	NA	0.6	NA	0.15	NA	0.18	NA
	C		NA	NA	NA	NA	NA	NA	7.5	NA	0.8	NA	0.6	NA	0.17	NA	0.18	NA
Ambient	A	144	3.39	0.03	0.19	0.02	1.04	0.03	10.8	0	0.86	0	0.8	0	0.2	0.01	0.19	0
	B		3.34	0.03	0.26	0.03	0.97	0.03	7.9	0	0.71	0	0.6	0	0.14	0.04	0.19	0
	C		3.42	0.03	0.19	0.02	1	0.02	10	0.1	0.8	0	0.7	0	0.09	0.02	0.19	0
Cold	A	144	3.49	0.03	0.21	0.02	1.04	0.02	9.4	2.2	0.82	0.08	0.7	0.1	0.23	0.03	0.18	0.01
	B		3.48	0.03	0.14	0.01	1.02	0.03	9.4	2.2	0.82	0.08	0.7	0.1	0.23	0.04	0.18	0.01
	C		3.31	0.03	0.11	0.01	1.01	0.03	7.6	0	0.81	0	0.6	0	0.27	0.01	0.18	0
